行号,工具名称,工具版本,烧录时间,烧录Mac,烧录结果,串口号,烧录口,烧录状态,底板ID,芯片型号,固件项目信息,固件版本,固件大小,固件CRC,授权文件大小,授权文件CRC,mac烧录地址,license或滚码,license烧录地址,license总个数,license剩余个数,滚码起始值,滚码总个数,滚码剩余个数
74,集贤新烧录器,v1.2.4,20230105 16:52:09,mac:3873EAE83EB5,FAIL,COM10,4,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999984
75,集贤新烧录器,v1.2.4,20230105 16:52:09,mac:3873EAE83EB6,FAIL,COM10,5,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999984
76,集贤新烧录器,v1.2.4,20230105 16:52:27,mac:3873EAE83EB3,PASS,COM10,1,烧录成功,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999983
77,集贤新烧录器,v1.2.4,20230105 16:52:27,mac:3873EAE83EB4,FAIL,COM10,2,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999983
78,集贤新烧录器,v1.2.4,20230105 16:52:27,mac:3873EAE83EB5,FAIL,COM10,3,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999983
79,集贤新烧录器,v1.2.4,20230105 16:52:27,mac:3873EAE83EB6,FAIL,COM10,4,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999983
80,集贤新烧录器,v1.2.4,20230105 16:52:27,mac:3873EAE83EB7,FAIL,COM10,5,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999983
81,集贤新烧录器,v1.2.4,20230105 16:52:43,mac:3873EAE83EB4,PASS,COM10,1,烧录成功,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999982
82,集贤新烧录器,v1.2.4,20230105 16:52:43,mac:3873EAE83EB5,FAIL,COM10,2,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999982
83,集贤新烧录器,v1.2.4,20230105 16:52:43,mac:3873EAE83EB6,FAIL,COM10,3,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999982
84,集贤新烧录器,v1.2.4,20230105 16:52:43,mac:3873EAE83EB7,FAIL,COM10,4,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999982
85,集贤新烧录器,v1.2.4,20230105 16:52:43,mac:3873EAE83EB8,FAIL,COM10,5,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999982
86,集贤新烧录器,v1.2.4,20230105 16:52:59,mac:3873EAE83EB5,PASS,COM10,1,烧录成功,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999981
87,集贤新烧录器,v1.2.4,20230105 16:52:59,mac:3873EAE83EB6,FAIL,COM10,2,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999981
88,集贤新烧录器,v1.2.4,20230105 16:52:59,mac:3873EAE83EB7,FAIL,COM10,3,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999981
89,集贤新烧录器,v1.2.4,20230105 16:52:59,mac:3873EAE83EB8,FAIL,COM10,4,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999981
90,集贤新烧录器,v1.2.4,20230105 16:52:59,mac:3873EAE83EB9,FAIL,COM10,5,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999981
